index,transcript,protein,probability
1287,ENST00000381362,P55259,0.7118
1288,ENST00000400309,P57722,0.7118
1289,ENST00000300108,Q9UHF0,0.7118
1290,ENST00000584600,Q5RBU1,0.7119
1291,ENST00000567723,Q1X8D7,0.7119
1292,ENST00000358477,Q9UBN4,0.7119
1293,ENST00000400246,O75140,0.7119
1294,ENST00000400127,Q9H9P2,0.7119
1295,ENST00000505553,Q5RCG0,0.712
1296,ENST00000396813,Q96LJ7,0.712
1297,ENST00000427635,Q5GLZ8,0.712
1298,ENST00000294854,A5PLK6,0.712
1299,ENST00000425691,Q5R9D1,0.712
1300,ENST00000263463,Q28590,0.7121
1301,ENST00000359791,Q6W5P4,0.7121
1302,ENST00000343210,Q8TDW4,0.7122
1303,ENST00000544166,Q96NJ5,0.7122
1304,ENST00000202625,O95932,0.7122
1305,ENST00000464057,O75521,0.7122
1306,ENST00000320865,Q67FW5,0.7122
1307,ENST00000299185,Q8N2C3,0.7122
1308,ENST00000302373,Q99550,0.7122
1309,ENST00000369282,Q9BXT4,0.7123
1310,ENST00000559224,Q6P4I2,0.7123
1311,ENST00000532509,A5A6I0,0.7123
1312,ENST00000399907,Q38PU4,0.7124
1313,ENST00000395166,Q61831,0.7125
1314,ENST00000360304,O02827,0.7125
1315,ENST00000425431,P26436,0.7125
1316,ENST00000541030,Q7RTU9,0.7126
1317,ENST00000421911,Q6U841,0.7127
1318,ENST00000437649,Q5R5E5,0.7127
1319,ENST00000260376,Q5RDU4,0.7127
1320,ENST00000519083,P35372,0.7127
1321,ENST00000413054,Q5U680,0.7127
1322,ENST00000544975,Q5R563,0.7128
1323,ENST00000454822,Q96AT9,0.7128
1324,ENST00000416277,Q502W6,0.7129
1325,ENST00000346145,Q99102,0.713
1326,ENST00000439727,Q86XA9,0.713
1327,ENST00000597297,Q08493,0.713
1328,ENST00000538326,O15553,0.713
1329,ENST00000262518,Q6ZRS2,0.7131
1330,ENST00000560721,P37275,0.7131
1331,ENST00000409904,Q02643,0.7132
1332,ENST00000023064,P82251,0.7132
1333,ENST00000324464,Q96D53,0.7132
1334,ENST00000392151,P61023,0.7132
1335,ENST00000263710,Q6NYW6,0.7132
1336,ENST00000539554,Q27W02,0.7132
1337,ENST00000357032,Q5R4P1,0.7133
1338,ENST00000485199,Q8IYB4,0.7134
1339,ENST00000378912,Q8N0W3,0.7134
1340,ENST00000437807,Q9BQA9,0.7135
1341,ENST00000324134,P59046,0.7135
1342,ENST00000434570,Q6ICL3,0.7135
1343,ENST00000437879,Q86VF2,0.7135
1344,ENST00000371247,Q9BX66,0.7135
1345,ENST00000561109,P29122,0.7136
1346,ENST00000443444,Q8IYA2,0.7136
1347,ENST00000376286,P05165,0.7136
1348,ENST00000398225,O76083,0.7136
1349,ENST00000525674,O95498,0.7137
1350,ENST00000373655,Q8CGM1,0.7138
1351,ENST00000512970,Q6NS57,0.7139
1352,ENST00000332628,P61132,0.7139
1353,ENST00000449926,Q6P5H6,0.714
1354,ENST00000339885,Q9UQQ1,0.714
1355,ENST00000326652,A6NC51,0.714
1356,ENST00000498822,P57723,0.714
1357,ENST00000589093,P59045,0.7141
1358,ENST00000436047,P24557,0.7141
1359,ENST00000367953,Q7L513,0.7141
1360,ENST00000525770,Q96CU9,0.7141
1361,ENST00000360524,Q8IYA2,0.7141
1362,ENST00000327783,Q38PU4,0.7141
1363,ENST00000395647,A0PJK1,0.7142
1364,ENST00000477542,Q6X9E4,0.7142
1365,ENST00000435976,Q8NEM8,0.7142
1366,ENST00000236938,Q7L513,0.7143
1367,ENST00000370232,Q9BQ50,0.7143
1368,ENST00000435660,Q6NXT4,0.7143
1369,ENST00000458031,Q03154,0.7144
1370,ENST00000334568,Q86UU9,0.7144
1371,ENST00000389397,A6NCI4,0.7144
1372,ENST00000378603,Q92466,0.7145
1373,ENST00000404103,O60941,0.7145
1374,ENST00000375022,Q12816,0.7145
1375,ENST00000565329,Q96J66,0.7145
1376,ENST00000454076,P41564,0.7145
1377,ENST00000361311,Q6Q0N0,0.7145
1378,ENST00000383233,Q24JQ0,0.7145
1379,ENST00000480174,Q6ZT98,0.7146
1380,ENST00000528429,P35712,0.7146
1381,ENST00000290317,Q8WWT9,0.7147
1382,ENST00000550587,Q8N2C3,0.7148
1383,ENST00000483731,P98161,0.7148
1384,ENST00000531917,Q9CPW5,0.7148
1385,ENST00000336307,O43820,0.7149
1386,ENST00000413054,Q70HW3,0.715
1387,ENST00000410100,Q8NCI6,0.7151
1388,ENST00000277141,Q5VYS8,0.7151
1389,ENST00000290846,O75648,0.7151
1390,ENST00000330523,Q8IUB3,0.7151
1391,ENST00000593157,Q9NXH9,0.7151
1392,ENST00000236938,Q7L513,0.7151
1393,ENST00000236938,Q7L513,0.7151
1394,ENST00000405097,P26044,0.7152
1395,ENST00000414834,O35303,0.7152
1396,ENST00000497390,P57723,0.7152
1397,ENST00000439537,Q9BXJ8,0.7152
1398,ENST00000324965,O15245,0.7152
1399,ENST00000448038,Q8NF91,0.7153
1400,ENST00000483242,Q5T2Q4,0.7154
1401,ENST00000445633,Q4R8B6,0.7154
1402,ENST00000422503,Q502W6,0.7154
1403,ENST00000393730,P58743,0.7155
1404,ENST00000575314,P04278,0.7155
1405,ENST00000527506,P31836,0.7155
1406,ENST00000596765,Q14653,0.7155
1407,ENST00000424898,Q8IXQ8,0.7155
1408,ENST00000502330,Q5RD69,0.7156
1409,ENST00000423416,P58743,0.7156
1410,ENST00000433067,P57071,0.7157
1411,ENST00000262915,P61132,0.7157
1412,ENST00000356608,Q96J66,0.7157
1413,ENST00000519980,Q9UKV8,0.7157
1414,ENST00000439741,A4FU01,0.7157
1415,ENST00000454358,Q330K2,0.7157
1416,ENST00000357704,Q96T75,0.7157
1417,ENST00000569319,Q9NUU7,0.7157
1418,ENST00000543673,Q15700,0.7158
1419,ENST00000399953,Q12980,0.7158
1420,ENST00000392564,P62994,0.7158
1421,ENST00000558521,Q6P4I2,0.7159
1422,ENST00000562214,Q91WL8,0.7159
1423,ENST00000569071,Q8WWX8,0.7159
1424,ENST00000583802,P29562,0.7159
1425,ENST00000539554,Q27W02,0.7159
1426,ENST00000514972,Q4ZJI4,0.7159
1427,ENST00000427714,Q7Z4N8,0.716
1428,ENST00000376826,Q6ZV50,0.716
1429,ENST00000342499,Q9HB55,0.716
1430,ENST00000596338,Q8TD43,0.7161
1431,ENST00000376575,Q7YR43,0.7161
1432,ENST00000265368,Q8NF91,0.7161
1433,ENST00000411491,Q6ZN68,0.7161
1434,ENST00000482573,Q7Z4T9,0.7161
1435,ENST00000575903,P04278,0.7162
1436,ENST00000297994,Q6PF06,0.7162
1437,ENST00000409021,Q96N16,0.7162
1438,ENST00000553431,O43708,0.7162
1439,ENST00000437147,P21675,0.7162
1440,ENST00000455194,P18577,0.7163
1441,ENST00000448240,Q5R4R2,0.7163
1442,ENST00000421775,Q80XD1,0.7163
1443,ENST00000395895,Q03060,0.7164
1444,ENST00000327898,Q63HM1,0.7164
1445,ENST00000378072,Q5TEA6,0.7164
1446,ENST00000562079,Q9EQ60,0.7164
1447,ENST00000348983,P30307,0.7164
1448,ENST00000590078,Q92800,0.7165
1449,ENST00000307431,Q9C0A0,0.7166
1450,ENST00000538753,Q5R762,0.7166
1451,ENST00000457293,Q96FL8,0.7166
1452,ENST00000370721,O97817,0.7167
1453,ENST00000448038,Q8NF91,0.7167
1454,ENST00000371553,Q5R1P0,0.7169
1455,ENST00000443575,Q9NR71,0.7169
1456,ENST00000487343,Q8IUB2,0.7169
1457,ENST00000419848,O60733,0.7169
1458,ENST00000428220,Q9TU31,0.7169
1459,ENST00000348983,P30307,0.7169
1460,ENST00000423870,Q5TEA6,0.717
1461,ENST00000284694,Q96M02,0.717
1462,ENST00000356764,O60237,0.717
1463,ENST00000409219,P25108,0.717
1464,ENST00000398823,Q8TCX1,0.717
1465,ENST00000507320,Q9C030,0.717
1466,ENST00000379808,Q149M9,0.717
1467,ENST00000448265,Q9BT76,0.7171
1468,ENST00000492555,Q9H857,0.7171
1469,ENST00000426868,Q9QUQ5,0.7172
1470,ENST00000413539,O75923,0.7172
1471,ENST00000402198,Q9C0A6,0.7172
1472,ENST00000508952,Q8N7B6,0.7173
1473,ENST00000375938,Q3SXZ7,0.7173
1474,ENST00000512308,Q5R532,0.7173
1475,ENST00000335257,Q9UKF7,0.7173
1476,ENST00000389656,Q8NHU2,0.7174
1477,ENST00000441366,P16452,0.7174
1478,ENST00000556898,O35815,0.7174
1479,ENST00000270361,Q9HC96,0.7175
1480,ENST00000538928,P12821,0.7176
1481,ENST00000451649,Q6DHV5,0.7176
1482,ENST00000309513,Q92834,0.7177
1483,ENST00000373723,Q96E11,0.7177
1484,ENST00000369963,Q17R60,0.7177
1485,ENST00000369950,Q17R60,0.7177
1486,ENST00000437807,Q9BQA9,0.7178
1487,ENST00000479097,P10826,0.7178
1488,ENST00000280663,Q7Z3S7,0.7178
1489,ENST00000377766,O14717,0.7178
1490,ENST00000531917,Q9CPW5,0.7178
1491,ENST00000554242,P10144,0.7179
1492,ENST00000377110,Q9HCF6,0.7179
1493,ENST00000470870,Q9NQE7,0.7179
1494,ENST00000399275,O15198,0.7179
1495,ENST00000563200,Q5BJ92,0.718
1496,ENST00000355305,Q9UQ16,0.718
1497,ENST00000435274,Q5R9W4,0.718
1498,ENST00000462788,Q8TC07,0.718
1499,ENST00000379679,Q9UBN4,0.7181
1500,ENST00000521072,Q8IXY8,0.7181
1501,ENST00000539145,O15553,0.7181
1502,ENST00000409651,O75923,0.7181
1503,ENST00000582678,P12821,0.7182
1504,ENST00000413057,Q4G0U5,0.7183
1505,ENST00000402845,P22002,0.7183
1506,ENST00000534859,Q8NB59,0.7183
1507,ENST00000367297,Q8NEY1,0.7184
1508,ENST00000556457,Q5RBN6,0.7184
1509,ENST00000533933,P61132,0.7184
1510,ENST00000370652,Q8IZF6,0.7184
1511,ENST00000462312,Q9C075,0.7184
1512,ENST00000541112,Q7Z5Q1,0.7184
1513,ENST00000523241,Q02650,0.7184
1514,ENST00000541030,A6NGW2,0.7185
1515,ENST00000422503,Q502W6,0.7185
1516,ENST00000464261,Q9UHJ9,0.7186
1517,ENST00000373956,Q96QU1,0.7186
1518,ENST00000511188,Q13508,0.7186
1519,ENST00000294984,Q13007,0.7186
1520,ENST00000327757,Q6P1J6,0.7186
1521,ENST00000453560,Q62636,0.7186
1522,ENST00000513933,Q4JDL3,0.7186
1523,ENST00000396037,P61642,0.7186
1524,ENST00000257880,Q13683,0.7186
1525,ENST00000547209,Q7L622,0.7186
1526,ENST00000510335,Q4JDL3,0.7186
1527,ENST00000542155,Q4AE62,0.7187
1528,ENST00000380714,Q99217,0.7187
1529,ENST00000265368,Q8NF91,0.7187
1530,ENST00000353274,Q9P0L9,0.7187
1531,ENST00000398984,Q96PG1,0.7187
1532,ENST00000545634,P21439,0.7187
1533,ENST00000344321,Q6ZNE9,0.7188
1534,ENST00000418587,Q96RE9,0.7188
1535,ENST00000264750,Q5R532,0.7188
1536,ENST00000374722,Q03060,0.7189
1537,ENST00000389632,P62483,0.7189
1538,ENST00000361322,Q96NX5,0.7189
1539,ENST00000491421,O35900,0.7189
1540,ENST00000359205,Q9H869,0.7189
1541,ENST00000587460,Q2TAK8,0.7189
1542,ENST00000259486,Q13822,0.7189
1543,ENST00000370441,P22304,0.7189
1544,ENST00000520177,Q32LC7,0.7189
1545,ENST00000379262,Q9NXA8,0.719
1546,ENST00000342933,Q9Y2J2,0.719
1547,ENST00000227880,Q8IY34,0.7191
1548,ENST00000494942,Q5T124,0.7191
1549,ENST00000337334,Q7Z5M8,0.7192
1550,ENST00000424767,Q8WWX8,0.7192
1551,ENST00000367093,Q13007,0.7192
1552,ENST00000488350,P26927,0.7192
1553,ENST00000311966,Q9UI32,0.7193
1554,ENST00000414302,Q9NY84,0.7193
1555,ENST00000569071,Q8WWX8,0.7193
1556,ENST00000533760,P13591,0.7193
1557,ENST00000370576,P10911,0.7193
1558,ENST00000565987,Q9Y5Y2,0.7193
1559,ENST00000406859,Q9ULB1,0.7194
1560,ENST00000274599,Q96RE9,0.7194
1561,ENST00000497461,P27487,0.7194
1562,ENST00000354106,Q9BX66,0.7194
1563,ENST00000354411,Q9C000,0.7195
1564,ENST00000370597,Q9NQ79,0.7196
1565,ENST00000341594,Q8NF91,0.7196
1566,ENST00000374384,Q9NVA1,0.7197
1567,ENST00000372754,O95460,0.7197
1568,ENST00000402951,Q9BQ50,0.7197
1569,ENST00000452360,Q9BSA9,0.7199
1570,ENST00000311966,Q9UI32,0.7199
1571,ENST00000349607,Q99102,0.7199
1572,ENST00000272238,Q8NEY4,0.7199
1573,ENST00000554242,P10144,0.72
1574,ENST00000359008,Q7Z7D3,0.72
1575,ENST00000379245,Q9UHY8,0.72
1576,ENST00000313244,Q15642,0.7201
1577,ENST00000358683,Q6RI88,0.7201
1578,ENST00000450939,Q5R737,0.7202
1579,ENST00000304283,Q6ZW76,0.7202
1580,ENST00000299328,Q6IV84,0.7202
1581,ENST00000322635,P11730,0.7202
1582,ENST00000467538,Q1RLU8,0.7202
1583,ENST00000325897,Q8IUQ0,0.7203
1584,ENST00000398556,Q5R7Y0,0.7203
1585,ENST00000354785,P11276,0.7204
1586,ENST00000310677,Q8NFM4,0.7204
1587,ENST00000375528,Q96KQ7,0.7204
1588,ENST00000354831,O43847,0.7205
1589,ENST00000366633,Q9NRI5,0.7205
1590,ENST00000267383,Q86UP0,0.7206
1591,ENST00000467317,Q9NUH8,0.7206
1592,ENST00000449139,Q9BX79,0.7206
1593,ENST00000359632,Q92902,0.7206
1594,ENST00000372754,O95460,0.7206
1595,ENST00000494737,Q6UXS9,0.7207
1596,ENST00000528015,P10242,0.7207
1597,ENST00000375726,Q6UXS9,0.7208
1598,ENST00000338718,Q5XG92,0.7209
1599,ENST00000236342,Q86SQ9,0.7209
1600,ENST00000341276,A6NNW6,0.7209
1601,ENST00000381793,Q5R5P4,0.7209
1602,ENST00000368246,Q9H310,0.7209
1603,ENST00000358025,Q8WXH0,0.7209
1604,ENST00000477914,Q16875,0.7209
1605,ENST00000559406,Q03169,0.721
1606,ENST00000379028,Q92823,0.721
1607,ENST00000446122,O75912,0.721
1608,ENST00000294753,Q96IT1,0.721
1609,ENST00000539145,O15553,0.721
1610,ENST00000404685,Q9BPW4,0.7211
1611,ENST00000016913,Q9NXJ0,0.7212
1612,ENST00000536352,Q9Y2G1,0.7212
1613,ENST00000457979,A6NDS4,0.7213
1614,ENST00000347027,Q13683,0.7213
1615,ENST00000393443,Q2PG42,0.7213
1616,ENST00000396551,Q9ESN2,0.7213
1617,ENST00000441787,P57071,0.7213
1618,ENST00000496441,Q9BWT1,0.7214
1619,ENST00000534859,Q8NB59,0.7214
1620,ENST00000443188,P59045,0.7215
1621,ENST00000535944,Q9NRI5,0.7215
1622,ENST00000541172,Q9ULV3,0.7215
1623,ENST00000585024,A5A6N4,0.7216
1624,ENST00000478051,Q9NSA0,0.7216
1625,ENST00000445924,O88656,0.7216
1626,ENST00000356504,Q5RCC5,0.7217
1627,ENST00000381668,Q9Y2Q0,0.7217
1628,ENST00000156626,Q9NSC7,0.7218
1629,ENST00000355721,Q9UQQ1,0.7218
1630,ENST00000542935,Q9UHN6,0.7218
1631,ENST00000502848,A2T7D9,0.7218
1632,ENST00000341822,P98198,0.7218
1633,ENST00000225792,A5A6J2,0.7219
1634,ENST00000505814,Q4JDL3,0.7219
1635,ENST00000243914,Q8NI51,0.722
1636,ENST00000409354,O95876,0.722
1637,ENST00000346753,Q8IU80,0.722
1638,ENST00000527060,P49895,0.7221
1639,ENST00000374233,Q4JDL3,0.7221
1640,ENST00000370652,Q8IZF6,0.7221
1641,ENST00000393730,P58743,0.7222
1642,ENST00000411667,Q9P1Z9,0.7222
1643,ENST00000277549,O55017,0.7222
1644,ENST00000525940,P10242,0.7223
1645,ENST00000508693,Q80TS3,0.7223
1646,ENST00000555552,Q9Y2Z9,0.7223
1647,ENST00000525039,O43826,0.7223
1648,ENST00000538354,O75386,0.7223
1649,ENST00000556339,O35815,0.7224
1650,ENST00000477278,Q9BRK3,0.7224
1651,ENST00000429150,Q9UM63,0.7224
1652,ENST00000454936,Q969S8,0.7224
1653,ENST00000544175,Q9UIR0,0.7224
1654,ENST00000571558,Q86UA6,0.7224
1655,ENST00000547186,Q9Y4R7,0.7224
1656,ENST00000381021,O75648,0.7225
1657,ENST00000360194,Q4QQT2,0.7225
1658,ENST00000477146,O75037,0.7225
1659,ENST00000579314,Q9GLN7,0.7226
1660,ENST00000446747,Q5RBX0,0.7226
1661,ENST00000373775,P21675,0.7226
1662,ENST00000487867,Q495B1,0.7226
1663,ENST00000544133,P16671,0.7226
1664,ENST00000445210,Q53R41,0.7226
1665,ENST00000447887,A2A8Z1,0.7227
1666,ENST00000492329,P26927,0.7227
1667,ENST00000266503,Q8WYA1,0.7228
1668,ENST00000355547,Q86UT5,0.7228
1669,ENST00000507069,Q5RCC5,0.723
1670,ENST00000372414,P10586,0.723
1671,ENST00000327098,Q96DN5,0.723
1672,ENST00000557955,Q8TF62,0.723
1673,ENST00000534780,Q28590,0.7231
1674,ENST00000438204,Q96AT9,0.7231
1675,ENST00000397203,Q8IUD2,0.7231
1676,ENST00000420290,Q6ICL3,0.7231
1677,ENST00000515297,Q7Z745,0.7231
1678,ENST00000509505,O43897,0.7232
1679,ENST00000411464,Q7Z7F7,0.7232
1680,ENST00000339098,Q49MI3,0.7233
1681,ENST00000397359,Q86UP0,0.7234
1682,ENST00000504896,Q80TS3,0.7234
1683,ENST00000283141,Q5T4T6,0.7234
1684,ENST00000448924,Q96HA4,0.7235
1685,ENST00000551261,Q6P1Q0,0.7236
1686,ENST00000454485,P22303,0.7236
1687,ENST00000470209,P98171,0.7236
1688,ENST00000498578,Q5RFQ9,0.7236
1689,ENST00000335539,O60733,0.7236
1690,ENST00000439855,P52742,0.7237
1691,ENST00000544088,Q96P15,0.7237
1692,ENST00000446906,P55197,0.7237
1693,ENST00000477186,Q8N9R8,0.7237
1694,ENST00000534146,P11310,0.7238
1695,ENST00000421674,Q6P5H6,0.7238
1696,ENST00000461761,Q8N4H0,0.7238
1697,ENST00000527458,Q15054,0.7239
1698,ENST00000371203,P49961,0.7239
1699,ENST00000440755,P22303,0.7239
1700,ENST00000389413,Q92932,0.7239
1701,ENST00000312251,Q9UK23,0.7239
1702,ENST00000357428,Q8TEY7,0.724
1703,ENST00000586195,O95834,0.724
1704,ENST00000509896,Q80TS3,0.7241
1705,ENST00000268231,Q8IYM1,0.7241
1706,ENST00000401882,P49803,0.7241
1707,ENST00000341041,Q5T4T6,0.7242
1708,ENST00000561839,Q8N0W5,0.7242
1709,ENST00000447496,Q4KWH8,0.7243
1710,ENST00000284648,Q8IYS5,0.7243
1711,ENST00000409235,Q6ZRH7,0.7244
1712,ENST00000490474,Q5R9C1,0.7244
1713,ENST00000358548,Q6PCT3,0.7244
1714,ENST00000368160,P15812,0.7245
1715,ENST00000485117,Q5TCH4,0.7245
1716,ENST00000330889,Q9NPF8,0.7245
1717,ENST00000521902,Q06455,0.7245
1718,ENST00000401751,Q9Z1J8,0.7245
1719,ENST00000310366,Q460N3,0.7246
1720,ENST00000423703,Q8C0D7,0.7246
1721,ENST00000527170,O88450,0.7246
1722,ENST00000527417,P78410,0.7247
1723,ENST00000532494,Q96J65,0.7247
1724,ENST00000485002,O75095,0.7247
1725,ENST00000458630,Q6P5H6,0.7248
1726,ENST00000430554,P22303,0.7248
1727,ENST00000548332,P43166,0.7248
1728,ENST00000440755,P22303,0.7249
1729,ENST00000454864,Q9JKQ2,0.7249
1730,ENST00000406164,Q96T66,0.7249
1731,ENST00000576728,P04278,0.725
1732,ENST00000415155,Q6X9E4,0.725
1733,ENST00000297908,Q96E11,0.725
1734,ENST00000447929,P08236,0.725
1735,ENST00000410026,Q96AH0,0.725
1736,ENST00000449395,P57071,0.7251
1737,ENST00000457614,Q9NWS1,0.7251
1738,ENST00000586186,O75771,0.7251
1739,ENST00000423724,P30988,0.7252
1740,ENST00000480001,P10826,0.7252
1741,ENST00000340780,Q9NY56,0.7252
1742,ENST00000355790,Q8TCA0,0.7252
1743,ENST00000558906,Q8TF62,0.7252
1744,ENST00000445360,Q6ZRR7,0.7252
1745,ENST00000368246,Q9H310,0.7253
1746,ENST00000359790,Q6NVV9,0.7253
1747,ENST00000375999,B1AJZ9,0.7254
1748,ENST00000393730,P58743,0.7254
1749,ENST00000538969,P16671,0.7254
1750,ENST00000534603,Q8NB37,0.7254
1751,ENST00000409474,Q96JB8,0.7254
1752,ENST00000260376,Q6P6P7,0.7254
1753,ENST00000309720,Q9BE63,0.7255
1754,ENST00000452174,Q49MI3,0.7255
1755,ENST00000394019,Q9BY07,0.7255
1756,ENST00000299179,Q8N983,0.7255
1757,ENST00000355233,P23468,0.7255
1758,ENST00000357210,Q96AX9,0.7256
1759,ENST00000357904,Q9H7Z3,0.7256
1760,ENST00000359484,Q9BY07,0.7256
1761,ENST00000377944,Q9UKT9,0.7256
1762,ENST00000377110,Q9HCF6,0.7256
1763,ENST00000369282,Q9BXT4,0.7256
1764,ENST00000551134,Q96LP6,0.7257
1765,ENST00000264917,E9Q4S1,0.7258
1766,ENST00000565443,Q6P6P7,0.7258
1767,ENST00000476500,P10523,0.7258
1768,ENST00000375789,O95865,0.7259
1769,ENST00000533119,P07857,0.7259
1770,ENST00000592272,Q9HCE0,0.7259
1771,ENST00000367897,B4F6V6,0.726
1772,ENST00000369358,Q86VF7,0.726
1773,ENST00000520757,Q330K2,0.726
1774,ENST00000438204,Q96AT9,0.726
1775,ENST00000370652,Q8IZF6,0.7261
1776,ENST00000473533,Q5GLZ8,0.7261
1777,ENST00000590526,O75298,0.7262
1778,ENST00000599223,Q14653,0.7262
1779,ENST00000459775,Q3TIX9,0.7262
1780,ENST00000398547,O60241,0.7263
1781,ENST00000271029,O97817,0.7263
1782,ENST00000376360,Q8N0X4,0.7263
1783,ENST00000320394,Q8N0W5,0.7263
1784,ENST00000352371,Q9BPW4,0.7263
1785,ENST00000426445,P98198,0.7264
1786,ENST00000415576,Q9CWH6,0.7264
1787,ENST00000447207,P57071,0.7264
1788,ENST00000415413,Q9HB55,0.7265
1789,ENST00000367782,P16581,0.7265
1790,ENST00000393482,Q9BZW7,0.7265
1791,ENST00000371123,Q6PGB8,0.7265
1792,ENST00000426920,Q8TDF6,0.7265
1793,ENST00000333360,P16581,0.7266
1794,ENST00000320211,Q8WXE1,0.7266
1795,ENST00000427587,Q96G04,0.7267
1796,ENST00000563189,Q1X8D7,0.7267
1797,ENST00000263552,P24557,0.7267
1798,ENST00000513685,P17301,0.7267
1799,ENST00000475109,Q5R481,0.7268
1800,ENST00000504010,A2T7D9,0.7268
1801,ENST00000518137,Q8N8Q3,0.7269
1802,ENST00000438364,Q6ZN68,0.7269
1803,ENST00000537841,P08397,0.727
1804,ENST00000322953,Q8NDB2,0.727
1805,ENST00000354582,Q9TU34,0.727
1806,ENST00000269197,Q9C0F0,0.727
1807,ENST00000548593,Q498U4,0.727
1808,ENST00000366739,Q7Z7F7,0.727
1809,ENST00000462753,Q96SK2,0.7271
1810,ENST00000360962,Q8N6T0,0.7271
1811,ENST00000481477,Q9NVD3,0.7271
1812,ENST00000520002,Q96PZ7,0.7272
1813,ENST00000537824,Q96PZ7,0.7272
1814,ENST00000541022,Q99572,0.7272
1815,ENST00000396292,Q9HCF6,0.7272
1816,ENST00000410106,Q96FG2,0.7272
1817,ENST00000497011,P06276,0.7272
1818,ENST00000370727,O97817,0.7273
1819,ENST00000409460,Q502W6,0.7273
1820,ENST00000354961,Q8NI17,0.7273
1821,ENST00000377840,Q02650,0.7273
1822,ENST00000354749,P53804,0.7274
1823,ENST00000333360,P16581,0.7274
1824,ENST00000452631,Q9Y238,0.7274
1825,ENST00000216286,Q14112,0.7274
1826,ENST00000319198,O75970,0.7275
1827,ENST00000394149,P09919,0.7275
1828,ENST00000296980,Q969J5,0.7275
1829,ENST00000531409,P24903,0.7276
1830,ENST00000349607,Q99102,0.7276
1831,ENST00000272321,O95876,0.7276
1832,ENST00000523079,P43322,0.7276
1833,ENST00000469078,Q03938,0.7277
1834,ENST00000312060,Q2VPK5,0.7277
1835,ENST00000359679,O95954,0.7277
1836,ENST00000487343,Q8IUB2,0.7277
1837,ENST00000295550,P12111,0.7277
1838,ENST00000447016,P57071,0.7277
1839,ENST00000513587,Q9UL40,0.7277
1840,ENST00000535915,P01130,0.7278
1841,ENST00000394598,Q99697,0.7278
1842,ENST00000345253,Q96JD6,0.7278
1843,ENST00000420646,P61146,0.7279
1844,ENST00000575135,A6NH52,0.7279
1845,ENST00000366603,Q4LE39,0.7279
1846,ENST00000542803,Q9Y2I2,0.7279
1847,ENST00000372211,Q9HA47,0.7279
1848,ENST00000368508,P08922,0.7279
1849,ENST00000457188,Q8IZ96,0.728
1850,ENST00000309691,Q7L513,0.728
1851,ENST00000478934,O55166,0.7281
1852,ENST00000295488,Q8TDG4,0.7281
1853,ENST00000451211,P55345,0.7282
1854,ENST00000548435,Q9HCS2,0.7282
1855,ENST00000434263,Q9Z2H2,0.7282
1856,ENST00000534418,Q96J65,0.7283
1857,ENST00000398543,Q8BHY3,0.7283
1858,ENST00000536838,Q9HBA0,0.7284
1859,ENST00000341041,Q5T4T6,0.7284
1860,ENST00000333360,P16581,0.7285
1861,ENST00000448839,O75081,0.7285
1862,ENST00000350743,Q6IV78,0.7285
1863,ENST00000599935,Q9NZV7,0.7285
1864,ENST00000523609,Q9UKV8,0.7285
1865,ENST00000424560,B2RTY4,0.7286
1866,ENST00000507556,Q8TBB0,0.7286
1867,ENST00000377288,O94985,0.7286
1868,ENST00000409445,Q9BXY5,0.7286
1869,ENST00000585454,Q60HD1,0.7286
1870,ENST00000510241,O95704,0.7287
1871,ENST00000533744,Q8IZM9,0.7287
1872,ENST00000431666,Q96N66,0.7287
1873,ENST00000381795,Q5R5P4,0.7287
1874,ENST00000481533,Q86T20,0.7288
1875,ENST00000428024,P04062,0.7288
1876,ENST00000410017,Q9H9Q2,0.7288
1877,ENST00000373888,Q92485,0.7288
1878,ENST00000392518,Q8TCG5,0.7289
1879,ENST00000337415,P07202,0.7289
1880,ENST00000498366,Q969S8,0.7289
1881,ENST00000377944,Q9UKT9,0.7289
1882,ENST00000345365,O75771,0.7289
1883,ENST00000441682,P98187,0.729
1884,ENST00000465865,Q9UIR0,0.729
1885,ENST00000392986,Q96RI1,0.729
1886,ENST00000256324,Q7Z3D6,0.7291
1887,ENST00000356696,Q04609,0.7291
1888,ENST00000282641,Q9NQ94,0.7291
1889,ENST00000564179,Q5RA78,0.7291
1890,ENST00000434676,O00429,0.7291
1891,ENST00000429220,O75312,0.7292
1892,ENST00000441090,Q96II8,0.7292
1893,ENST00000413689,Q14524,0.7292
1894,ENST00000454680,A6NK97,0.7292
1895,ENST00000394624,Q8NFT2,0.7293
1896,ENST00000360682,O60716,0.7293
1897,ENST00000372055,P15692,0.7293
1898,ENST00000299734,Q78PB6,0.7293
1899,ENST00000266497,O75747,0.7293
1900,ENST00000366739,Q7Z7F7,0.7293
1901,ENST00000399050,O60716,0.7294
1902,ENST00000369600,Q9UMS5,0.7294
1903,ENST00000437422,Q9UBU3,0.7295
1904,ENST00000539606,Q99572,0.7295
1905,ENST00000467068,Q8NCI6,0.7295
1906,ENST00000495115,Q9HB55,0.7295
1907,ENST00000540823,Q9UKQ2,0.7295
1908,ENST00000563422,A5A6K3,0.7296
1909,ENST00000443581,Q14524,0.7296
1910,ENST00000550418,Q17QD3,0.7296
1911,ENST00000525422,Q9UGK8,0.7296
1912,ENST00000422290,O95620,0.7296
1913,ENST00000443520,Q99572,0.7297
